"","conditionCode","contextCode","regCode","variant","regCodeExt","regString","shortString"
"1",1,126,100,1,"1.126.100.1","21.Cyclophosphamide;0.Non-pegylatedliposomaldoxorubicin;21.Cyclophosphamide;0.Non-pegylatedliposomaldoxorubicin;","21.Cyclophosphamide;0.Non-pegylatedliposomaldoxorubicin;"
"2",1,126,101,2,"1.126.101.2","14.Paclitaxel;7.Paclitaxel;7.Paclitaxel;14.Paclitaxel;7.Paclitaxel;7.Paclitaxel;","14.Paclitaxel;7.Paclitaxel;7.Paclitaxel;"
"3",1,126,102,1,"1.126.102.1","21.Paclitaxel;21.Paclitaxel;","21.Paclitaxel;21.Paclitaxel;"
"4",1,126,103,1,"1.126.103.1","14.Bevacizumab;0.Paclitaxel;7.Paclitaxel;7.Bevacizumab;0.Paclitaxel;14.Bevacizumab;0.Paclitaxel;7.Paclitaxel;7.Bevacizumab;0.Paclitaxel;","14.Bevacizumab;0.Paclitaxel;7.Paclitaxel;7.Bevacizumab;0.Paclitaxel;"
"5",1,126,104,1,"1.126.104.1","21.Paclitaxel;0.Vinorelbine;7.Vinorelbine;21.Paclitaxel;0.Vinorelbine;7.Vinorelbine;","21.Paclitaxel;0.Vinorelbine;7.Vinorelbine;"
"6",1,126,105,1,"1.126.105.1","14.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);14.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);","14.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);"
"7",1,126,105,2,"1.126.105.2","21.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);21.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);","21.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);"
"8",1,126,106,1,"1.126.106.1","14.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);14.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);","14.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);7.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);"
"9",1,126,106,2,"1.126.106.2","21.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);21.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);","21.Bevacizumab;0.Paclitaxel;0.nanoparticlealbumin-bound(Abraxane);"
"10",1,126,107,1,"1.126.107.1","21.Pemetrexted;21.Pemetrexted;","21.Pemetrexted;21.Pemetrexted;"
"11",1,126,107,2,"1.126.107.2","14.Pemetrexted;14.Pemetrexted;","14.Pemetrexted;14.Pemetrexted;"
